SMILES,ALERTS,ALOGP,AROM,HBA,HBD,MW,PSA,ROTB,QED
CN1C(=O)CN=C(c2c(Cl)cccc2Cl)c2cc(Cl)ccc21,0,4.46060,2,1,0,353.63600,32.67000,1,0.84678
CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,2,2.54770,2,3,0,313.28800,75.81000,2,0.97034
CC1=CC(=O)N2CC(=O)N(C)c3ccc(Cl)cc3C2(c2ccccc2)O1,0,3.28010,2,3,0,368.82000,49.85000,1,0.78951
O=C1CN=C(c2ccccc2)c2c(sc3c2CCCC3)N1,0,3.41640,2,1,1,296.39500,41.46000,1,0.98289
O=C1CN=C(c2ccccc2)c2c(Cl)cccc2N1,0,3.12950,2,1,1,270.71900,41.46000,1,0.91030
Fc1ccccc1C1=NCC=Cc2ccc(Cl)cc21,0,4.34330,2,0,0,271.72200,12.36000,1,0.88098
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0,3.15380,2,1,0,284.74600,32.67000,1,0.94903
CC(C)(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,1,4.04490,2,3,1,370.83600,67.76000,2,0.78121
O=C1CN=C(c2c(F)cccc2Cl)c2cc(Cl)ccc2N1,0,3.92200,2,1,1,323.15400,41.46000,1,0.97007
O=C1CN2CCOC2(c2ccccc2F)c2cc(Br)ccc2N1,0,3.07360,2,3,1,377.21300,41.57000,1,0.73594
CN1C(=O)CN=C(c2ccccc2)c2cc(N)ccc21,1,2.08260,2,2,1,265.31600,58.69000,1,0.89766
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,0,1.56800,2,7,0,388.81500,91.76000,2,0.65710
CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,0,3.77770,2,1,0,318.82900,32.67000,2,0.96995
CCS(=O)(=O)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0,3.09780,2,3,0,408.88200,66.81000,5,0.57339
NNC(=O)CN1C(=O)CN=C(c2ccccc2)c2cc(Br)ccc21,3,1.62300,2,3,2,387.23700,87.79000,3,0.67102
Cc1c2c(cn1C)NC(=O)CN=C2c1ccccc1,0,2.12302,2,1,1,253.30500,46.39000,1,0.82990
CN1C(=O)CN=C(c2ccccn2)c2cc(Br)ccc21,0,2.65790,2,2,0,330.18500,45.56000,1,0.95962
C#Cc1ccc2c(c1)C(=O)N(C)Cc1c(C(=O)OCC)ncn1-2,2,1.61590,2,4,0,309.32500,64.43000,2,0.98475
